id,courseid,parent,depth,path,fullname,aggregation,keephigh,droplow,aggregateonlygraded,aggregateoutcomes,timecreated,timemodified,hidden
5,6,,1,/5/,Course grade category,11,0,0,1,1,1212560960,1235156281,0
6,7,,1,/6/,?,11,0,0,1,0,1528952305,1528952305,0
7,8,,1,/7/,?,13,0,0,1,0,1543621552,1543621553,0
9,9,8.0,2,/8/9/,Review Quizzes,13,0,0,1,0,1499121984,1499121984,0
8,9,,1,/8/,?,13,0,0,1,0,1487039383,1487039383,0
10,10,,1,/10/,?,11,0,0,1,0,1374229618,1374229618,0
11,1,,1,/11/,?,13,0,0,1,0,1548863444,1548863444,0
12,12,,1,/12/,?,13,0,0,1,0,1549464618,1549464618,0
45,45,,1,/45/,?,13,0,0,1,0,1549643386,1549643386,0
46,46,,1,/46/,?,13,0,0,1,0,1550050571,1550050571,0
47,11,,1,/47/,?,13,0,0,1,0,1550222626,1550222626,0
48,47,,1,/48/,?,13,0,0,1,0,1550248279,1553183456,0
49,48,,1,/49/,?,13,0,0,1,0,1557764186,1558345309,0
50,50,,1,/50/,?,13,0,0,1,0,1562233074,1562248453,0
51,49,,1,/51/,?,13,0,0,1,0,1562754336,1562754336,0
52,51,,1,/52/,?,13,0,0,1,0,1562839575,1562839575,0
