id,course,type,name,intro,introformat,assessed,assesstimestart,assesstimefinish,scale,maxbytes,maxattachments,forcesubscribe,trackingtype,rsstype,rssarticles,timemodified,warnafter,blockafter,blockperiod,completiondiscussions,completionreplies,completionposts,displaywordcount,lockdiscussionafter
1,1,news,Site announcements,General news and announcements,1,0,0,0,0,0,1,0,1,0,0,1548435669,0,0,0,0,0,0,0,0
3,6,news,News forum,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1203987210,0,0,0,0,0,0,0,0
4,6,general,Excel vs Access,The database fight of the century!,1,0,0,0,0,1,1,2,2,0,0,1207017295,0,0,0,0,0,0,0,0
5,6,general,Additional thoughts,"This forum is for two things mainly.<br /><br /><ol style=""text-align: left;""><li>It would be nice to know what you thought of this unit - did you like it? Were the resources adequate?&nbsp; Did you learn something new?</li><li>Can you see any ways in which the Homework Diary System might be extended?</li></ol><br />We hope you have enjoyed the course.",1,1,0,0,-3,512000,1,2,1,0,0,1208833203,0,0,0,0,0,0,0,0
6,7,news,Announcements,General news and announcements,0,0,0,0,0,0,1,1,1,0,0,1528706177,0,0,0,0,0,0,0,0
7,7,blog,LxI 1.1: Dicussion Forum ,"<p>
</p><p>Now that you know about the creation of a website and adding components in website, it is a good time to start interacting. We have created a focused and 
structured discussion forum for you to interact.&nbsp; .&nbsp;</p>
<h3><br></h3><h3>FOCUS QUESTION&nbsp;</h3>
<p><i><u>Introduce yourself</u></i>&nbsp;and discuss about <em><u>how you can use your website for your students/consumers</u>.</em> Give&nbsp;details of&nbsp;the various <i><u>plugins, tools, component of WordPress you used and liked the most</u></i>.</p><p><br></p>
<h3>INSTRUCTION</h3>
<p>Please follow the below instructions while creating your first post. You can see the first discussion forum below this</p>
<ol>
<li>Click on ""LxI 1.1 Discussion Forum""<label></label></li><li>Click on&nbsp; ""Add a new Topic""<br></li><li>In the Subject write - ""My WP post"" followed by your name and the subject you teach. (For e.g. My first post -WPKkiran - Chemical Technology)</li><li>In Message write your discussion over the Focus Question</li><li>Click on ""<label>                Discussion subscription""</label><br></li><li>After writing the post, go and visit <strong>two&nbsp;of your peer's postings</strong>.&nbsp;</li>
<li>Identify the number of common technologies that both of you use.</li>
<li>If there is a new/different tools/plugins, then get details about the working and possibilities of this tools/plugins from your peer.</li>
</ol><br><p></p>",1,0,0,0,100,1,9,2,1,0,0,1529426062,0,0,0,0,0,1,1,0
8,8,general,Asynchronous Discussion,"<p><p>Review the&nbsp;<a href=""https://ualearn.blackboard.com/courses/1/201840-SS.BER-558-900-BER-558-901/db/_3951846_1/embedded/discussion_rubric_online.pdf"" target=""_blank"" rel=""noreferrer noopener"">Discussion Rubric</a>&nbsp;for information regarding delivery, promptness, clarity, content, etc. of your post. Please limit your responses to 200-300 words.</p><p><b>Create a post to respond to the following questions&nbsp;</b><br></p><p>1. How can educational games provide learners with active learning environments?&nbsp;</p><p>2. What elements in games can be used to provide authentic contexts for learning?<br></p><p><b>Post a response to at least two classmates.</b>&nbsp;&nbsp;<b>(</b>Use the following ABC approach when writing your posts)</p><p>o&nbsp;&nbsp;&nbsp;<b>A</b>cknowledge your classmates' posts.</p><p>o&nbsp;&nbsp;&nbsp;<b>B</b>uild upon these posts by providing additional details, statistics, ideas, perspectives, or links to interesting, relevant articles.</p><p>o&nbsp;&nbsp;&nbsp;<b>C</b>onclude with a question or new idea to further stimulate the discussion.</p><p>As you answer the preceding questions, be sure to number your responses to correspond to the headings and questions.</p><p><b>Please create a new post (thread) in this forum, and do NOT reply this post.</b></p><br><br></p>",1,0,0,0,100,512000,9,0,1,0,0,1543621573,0,0,0,0,0,0,0,0
9,8,general,Peer Review of Game-based instructional design,"<p><p>Design a 45-minute game-based learning session for instructors or classroom teachers.&nbsp;</p><p>Please provide detailed instructions on the process of the session, the rules of the game, the learning purposes, the responsibilities of all parties involved, and the mediation of collaboration and conflicts.&nbsp;</p><p>Please review two of your peers' work.&nbsp;</p><br></p>",1,0,0,0,100,512000,9,0,1,0,0,1543622417,0,0,0,0,0,0,0,0
10,9,news,Announcements,General news and announcements,0,0,0,0,0,0,1,1,1,0,0,1487036748,0,0,0,0,0,0,0,0
11,9,general,Question and Answer Forum,<p>In this forum you can post any questions you have about the content or assignments. &nbsp;Please be sure to post in the correct thread - and check before you post to see if a solution has been posted.</p>,1,0,0,0,100,0,9,0,1,0,0,1487051050,0,0,0,0,0,0,0,0
