id,coursemoduleid,userid,completionstate,viewed,overrideby,timemodified
5801,224,56,1,0.0,,1561988963
3,228,3,0,1.0,,0
36,228,2,0,1.0,,0
37,228,5,0,1.0,,0
38,228,32,0,1.0,,0
39,228,15,0,1.0,,0
5802,224,73,1,0.0,,1561988963
5803,224,43,1,0.0,,1561988963
5804,224,25,1,0.0,,1561988963
45,228,56,0,1.0,,0
46,228,73,0,1.0,,0
47,228,61,0,1.0,,0
48,228,65,1,1.0,,1549639813
49,228,19,0,1.0,,0
50,228,45,0,1.0,,0
51,228,9,0,1.0,,0
52,228,36,0,1.0,,0
5805,224,50,1,0.0,,1561988963
5806,224,51,1,0.0,,1561988963
5807,224,149,1,0.0,,1561988963
5808,224,170,1,0.0,,1561988963
5809,224,228,1,0.0,,1561988963
5810,224,217,1,0.0,,1561988963
5811,224,219,1,0.0,,1561988963
5812,224,213,1,0.0,,1561988963
5813,224,156,1,0.0,,1561988963
5814,224,132,1,0.0,,1561988963
5815,224,40,1,0.0,,1561988963
5816,224,225,1,0.0,,1561988963
5817,224,153,1,0.0,,1561988963
5818,224,115,1,0.0,,1561988963
5819,224,152,1,0.0,,1561988963
793,277,262,1,0.0,,1551115712
877,263,289,1,0.0,,1551199749
800,277,95,1,0.0,,1551116780
884,263,290,1,0.0,,1551204059
5820,224,121,1,0.0,,1561988963
5821,224,131,1,0.0,,1561988963
5822,224,165,1,0.0,,1561988963
5823,224,141,1,0.0,,1561988963
5824,224,256,1,0.0,,1561988963
5825,224,289,1,0.0,,1561988963
5826,224,84,1,0.0,,1561988963
5827,224,80,1,0.0,,1561988963
5828,224,107,1,0.0,,1561988963
5829,224,266,1,0.0,,1561988963
5830,224,278,1,0.0,,1561988963
5831,224,118,1,0.0,,1561988963
5832,224,135,1,0.0,,1561988963
5833,224,83,1,0.0,,1561988963
5834,224,239,1,0.0,,1561988963
5835,224,157,1,0.0,,1561988963
5836,224,45,1,0.0,,1561988963
5837,224,214,1,0.0,,1561988963
5838,224,61,1,0.0,,1561988963
5839,224,274,1,0.0,,1561988963
5840,224,299,1,0.0,,1561988963
5841,224,123,1,0.0,,1561988963
5842,224,284,1,0.0,,1561988963
5843,224,295,1,0.0,,1561988963
5844,224,227,1,0.0,,1561988963
5845,224,180,1,0.0,,1561988963
5846,224,268,1,0.0,,1561988963
5847,224,301,1,0.0,,1561988963
5848,224,143,1,0.0,,1561988963
5849,224,246,1,0.0,,1561988963
5850,224,201,1,0.0,,1561988963
5851,224,42,1,0.0,,1561988963
5852,224,145,1,0.0,,1561988963
5853,224,119,1,0.0,,1561988963
5854,224,294,1,0.0,,1561988963
5855,224,103,1,0.0,,1561988963
5856,224,253,1,0.0,,1561988963
5857,224,148,1,0.0,,1561988963
5858,224,86,1,0.0,,1561988963
5859,224,146,1,0.0,,1561988963
5860,224,147,1,0.0,,1561988963
5861,224,272,1,0.0,,1561988963
5862,224,271,1,0.0,,1561988963
5863,224,254,1,0.0,,1561988963
5864,224,144,1,0.0,,1561988963
5865,224,58,1,0.0,,1561988963
5866,224,68,1,0.0,,1561988963
5867,224,193,1,0.0,,1561988963
5868,224,39,1,0.0,,1561988963
5869,224,286,1,0.0,,1561988963
5870,224,303,1,0.0,,1561988963
5871,224,106,1,0.0,,1561988963
5872,224,78,1,0.0,,1561988963
5873,224,133,1,0.0,,1561988963
5874,224,290,1,0.0,,1561988963
5875,224,90,1,0.0,,1561988963
5876,224,275,1,0.0,,1561988963
5877,224,210,1,0.0,,1561988963
5878,224,259,1,0.0,,1561988963
5879,224,44,1,0.0,,1561988963
5880,224,140,1,0.0,,1561988963
5881,224,179,1,0.0,,1561988963
5882,224,48,1,0.0,,1561988963
5883,224,234,1,0.0,,1561988963
5884,224,244,1,0.0,,1561988963
5885,224,161,1,0.0,,1561988963
5886,224,282,1,0.0,,1561988963
5887,224,377,1,0.0,,1561988963
5888,224,306,1,0.0,,1561988963
5889,224,375,1,0.0,,1561988963
5890,224,382,1,0.0,,1561988963
5891,224,340,1,0.0,,1561988963
5892,224,262,1,0.0,,1561988963
5893,224,95,1,0.0,,1561988963
5894,224,376,1,0.0,,1561988963
5895,224,250,1,0.0,,1561988963
5896,224,386,1,0.0,,1561988963
