id,itemid,userid,rawgrade,rawgrademax,rawgrademin,rawscaleid,usermodified,finalgrade,hidden,locked,locktime,exported,overridden,excluded,feedback,feedbackformat,information,informationformat,timecreated,timemodified,aggregationstatus,aggregationweight
2,92,3,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,unknown,
1,93,3,,10.0,0.0,,3.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
51,126,50,,12.0,0.0,,,12.0,0,0,0,0,0,0,,0,,0,,1549723271.0,unknown,
35,92,65,,12.0,0.0,,,0.0,0,0,0,0,0,0,,0,,0,,1549642424.0,unknown,
34,93,65,0.0,12.0,0.0,,3.0,0.0,0,0,0,0,0,0,,0,,0,1549639813.0,1549642424.0,used,1.0
37,126,9,,12.0,0.0,,,3.0,0,0,0,0,0,0,,0,,0,,1549647688.0,unknown,
50,127,50,12.0,12.0,0.0,,50.0,12.0,0,0,0,0,0,0,,0,,0,1549723271.0,1549723271.0,used,1.0
36,127,9,3.0,12.0,0.0,,9.0,3.0,0,0,0,0,0,0,,0,,0,1549647688.0,1549647688.0,used,1.0
39,126,3,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,unknown,
38,127,3,,12.0,0.0,,3.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
41,126,38,,12.0,0.0,,,12.0,0,0,0,0,0,0,,0,,0,,1549651734.0,unknown,
40,127,38,12.0,12.0,0.0,,38.0,12.0,0,0,0,0,0,0,,0,,0,1549651734.0,1549651734.0,used,1.0
43,126,73,,12.0,0.0,,,8.0,0,0,0,0,0,0,,0,,0,,1549652294.0,unknown,
42,127,73,8.0,12.0,0.0,,73.0,8.0,0,0,0,0,0,0,,0,,0,1549652294.0,1549652294.0,used,1.0
45,126,65,,12.0,0.0,,,1.0,0,0,0,0,0,0,,0,,0,,1549698706.0,unknown,
53,126,20,,12.0,0.0,,,6.0,0,0,0,0,0,0,,0,,0,,1549747532.0,unknown,
44,127,65,1.0,12.0,0.0,,65.0,1.0,0,0,0,0,0,0,,0,,0,1549698706.0,1549698706.0,used,1.0
47,126,54,,12.0,0.0,,,9.0,0,0,0,0,0,0,,0,,0,,1549705413.0,unknown,
61,126,5,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1549791203.0,unknown,
46,127,54,9.0,12.0,0.0,,54.0,9.0,0,0,0,0,0,0,,0,,0,1549705413.0,1549705413.0,used,1.0
49,126,69,,12.0,0.0,,,9.0,0,0,0,0,0,0,,0,,0,,1549721787.0,unknown,
52,127,20,6.0,12.0,0.0,,20.0,6.0,0,0,0,0,0,0,,0,,0,1549747532.0,1549747532.0,used,1.0
