id,courseid,categoryid,itemname,itemtype,itemmodule,iteminstance,itemnumber,iteminfo,idnumber,calculation,gradetype,grademax,grademin,scaleid,outcomeid,gradepass,multfactor,plusfactor,aggregationcoef,aggregationcoef2,sortorder,display,decimals,hidden,locked,locktime,needsupdate,weightoverride,timecreated,timemodified
16,6,5.0,Report Grades (please read),mod,assign,7,0.0,,,,1,100.0,0.0,,,0.0,1.0,0.0,0.0,0.0,8,0,,0,0,0,0,0,1548694012,1548694012
91,1,,,course,,11,,,,,1,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1,0,,0,0,0,0,0,1548863444,1548863444
17,7,,,course,,6,,,,,1,100.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1,0,,0,0,0,0,0,1528952305,1528952305
14,6,5.0,Additional thoughts,mod,forum,5,0.0,,,,2,5.0,1.0,3.0,,0.0,1.0,0.0,0.0,0.0,9,0,,0,0,0,0,0,1548694012,1548694012
29,9,9.0,String Variables Review Quiz,mod,quiz,9,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,15,0,,0,0,0,0,0,1548694302,1548694302
32,9,9.0,Loops Review Quiz,mod,quiz,12,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,18,0,,0,0,0,0,0,1548694303,1548694303
30,9,9.0,Integers and Floats Review Quiz,mod,quiz,10,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,16,0,,0,0,0,0,0,1548694302,1548694302
31,9,9.0,Conditionals Review Quiz,mod,quiz,11,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,17,0,,0,0,0,0,0,1548694303,1548694303
33,9,9.0,Lists Review Quiz,mod,quiz,13,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,19,0,,0,0,0,0,0,1548694303,1548694303
35,9,9.0,Functions Review Quiz,mod,quiz,15,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,21,0,,0,0,0,0,0,1548694303,1548694303
34,9,9.0,Dictionaries Review Quiz,mod,quiz,14,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,20,0,,0,0,0,0,0,1548694303,1548694303
36,9,9.0,User Input Review Quiz,mod,quiz,16,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,22,0,,0,0,0,0,0,1548694303,1548694303
28,9,9.0,Introduction and Printing Review Quiz,mod,quiz,8,0.0,,,,1,100.0,0.0,,,80.0,1.0,0.0,0.0,0.1,14,0,,0,0,0,0,0,1548694302,1548694302
27,9,,,course,,8,,,,,1,1000.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1,0,,1,0,0,0,0,1487039383,1499303463
8,6,,,course,,5,,,,,1,100.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1,0,,0,0,0,0,0,1212560960,1235156281
9,6,5.0,Upload the completed worksheet (assignment),mod,assign,1,0.0,,,,1,10.0,0.0,,,0.0,1.0,0.0,0.0,0.0,2,0,,0,0,0,0,0,1548694011,1548694011
10,6,5.0,Upload the completed worksheet (assignment),mod,assign,2,0.0,,,,1,10.0,0.0,,,0.0,1.0,0.0,0.0,0.0,3,0,,0,0,0,0,0,1548694011,1548694011
11,6,5.0,Forum assignment,mod,assign,3,0.0,,,,1,5.0,0.0,,,0.0,1.0,0.0,0.0,0.0,4,0,,0,0,0,0,0,1548694012,1548694012
12,6,5.0,Upload the completed worksheet here please (assignment 8MB - 1),mod,assign,4,0.0,,,,1,10.0,0.0,,,0.0,1.0,0.0,0.0,0.0,5,0,,0,0,0,0,0,1548694012,1548694012
13,6,5.0,8 MB assignment 2,mod,assign,5,0.0,,,,1,5.0,0.0,,,0.0,1.0,0.0,0.0,0.0,6,0,,0,0,0,0,0,1548694012,1548694012
15,6,5.0,Upload your completed Access Database here (8MB - 3),mod,assign,6,0.0,,,,1,10.0,0.0,,,0.0,1.0,0.0,0.0,0.0,7,0,,0,0,0,0,0,1548694012,1548694012
39,10,,,course,,10,,,,,1,100.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1,0,,0,0,0,0,0,1374229618,1374229618
23,7,6.0,Peer Review of Word Press (assessment),mod,workshop,1,1.0,,,,1,15.0,0.0,,,0.0,1.0,0.0,0.0,0.0,13,0,,0,0,0,0,0,1548694183,1548694183
21,7,6.0,Knowledge Quiz,mod,quiz,7,0.0,,,,1,20.0,0.0,,,0.0,1.0,0.0,0.0,0.0,10,0,,0,0,0,0,0,1548694182,1548694182
26,8,7.0,Short Essay,mod,assign,9,0.0,,,,1,100.0,0.0,,,0.0,1.0,0.0,0.0,1.0,2,0,,0,0,0,0,0,1548694253,1548694253
20,7,6.0,Assimilation Quiz,mod,quiz,6,0.0,,,,1,15.0,0.0,,,0.0,1.0,0.0,0.0,0.0,11,0,,0,0,0,0,0,1548694182,1548694182
24,7,6.0,Your Submission,mod,assign,8,0.0,,,,1,25.0,0.0,,,0.0,1.0,0.0,0.0,0.0,15,0,,0,0,0,0,0,1548694183,1548694183
18,7,6.0,LbD 1.1 Q1,mod,quiz,4,0.0,,,,0,5.0,0.0,,,0.0,1.0,0.0,0.0,0.0,3,0,,0,0,0,0,0,1548694182,1548694182
19,7,6.0,Reflection Quiz,mod,quiz,5,0.0,,,,1,10.0,0.0,,,0.0,1.0,0.0,0.0,0.0,8,0,,0,0,0,0,0,1548694182,1548694182
22,7,6.0,Peer Review of Word Press (submission),mod,workshop,1,0.0,,,,1,15.0,0.0,,,0.0,1.0,0.0,0.0,0.0,12,0,,0,0,0,0,0,1548694183,1548694183
25,8,,,course,,7,,,,,1,100.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1,0,,0,0,0,0,0,1543621553,1543622001
