id,course,module,instance,section,idnumber,added,score,indent,visible,visibleoncoursepage,visibleold,groupmode,groupingid,completion,completiongradeitemnumber,completionview,completionexpected,showdescription,availability,deletioninprogress
1,1,9,1,2,,1548435669,0,0,1,1,1,0,0,0,,0,0,0,,0
23,6,12,1,17,,1206338932,0,0,1,1,1,0,0,0,,0,0,0,,0
69,8,15,2,29,,1543620947,0,0,1,1,1,0,0,0,,0,0,0,,0
24,6,9,4,17,,1206338989,0,0,1,1,1,1,0,0,,0,0,0,,0
227,11,9,24,57,,1549462268,0,0,1,1,1,0,0,0,,0,0,0,,0
26,6,12,2,17,,1206940311,0,0,1,1,1,1,0,0,,0,0,0,,0
6,6,9,3,14,,1203987210,0,0,0,1,1,0,0,0,,0,0,0,,0
7,6,17,1,15,,1203998819,0,0,1,1,1,0,0,0,,0,0,0,,0
8,6,17,2,15,,1203987342,0,0,1,1,1,0,0,0,,0,0,0,,0
9,6,17,3,15,,1203995559,0,0,1,1,1,0,0,0,,0,0,0,,0
11,6,17,4,15,,1203995676,0,0,0,1,1,0,0,0,,0,0,0,,0
12,6,17,5,16,,1203998859,0,0,1,1,1,0,0,0,,0,0,0,,0
13,6,17,6,16,,1203999515,0,0,1,1,1,0,0,0,,0,0,0,,0
14,6,17,7,16,,1205122455,0,0,1,1,1,0,0,0,,0,0,0,,0
15,6,17,8,16,,1204594141,0,0,0,1,1,0,0,0,,0,0,0,,0
16,6,17,9,17,,1206321022,0,0,1,1,1,0,0,0,,0,0,0,,0
17,6,17,10,17,,1206321085,0,0,1,1,1,0,0,0,,0,0,0,,0
19,6,17,11,17,,1206338814,0,0,0,1,1,0,0,0,,0,0,0,,0
20,6,17,12,17,,1206330090,0,0,1,1,1,0,0,0,,0,0,0,,0
21,6,17,13,17,,1206338607,0,0,1,1,1,0,0,0,,0,0,0,,0
22,6,17,14,17,,1206338687,0,0,1,1,1,0,0,0,,0,0,0,,0
27,6,17,15,17,,1206948443,0,0,1,1,1,1,0,0,,0,0,0,,0
28,6,17,16,17,,1206947555,0,0,1,1,1,1,0,0,,0,0,0,,0
31,6,17,17,17,,1207024077,0,0,1,1,1,1,0,0,,0,0,0,,0
32,6,17,18,17,,1207024138,0,0,1,1,1,1,0,0,,0,0,0,,0
33,6,17,19,18,,1207614194,0,0,1,1,1,1,0,0,,0,0,0,,0
34,6,17,20,18,,1207551307,0,0,1,1,1,1,0,0,,0,0,0,,0
35,6,17,21,18,,1207551375,0,0,1,1,1,1,0,0,,0,0,0,,0
36,6,17,22,19,,1208156037,0,0,1,1,1,1,0,0,,0,0,0,,0
37,6,17,23,19,,1208158387,0,0,1,1,1,1,0,0,,0,0,0,,0
38,6,17,24,19,,1208158473,0,0,1,1,1,1,0,0,,0,0,0,,0
39,6,9,5,19,,1208158655,0,0,1,1,1,1,0,0,,0,0,0,,0
42,6,1,1,15,,1548694013,0,0,1,1,1,1,0,0,,0,0,0,,0
43,6,1,2,17,,1548694013,0,0,1,1,1,1,0,0,,0,0,0,,0
44,6,1,3,17,,1548694013,0,0,1,1,1,1,0,0,,0,0,0,,0
45,6,1,4,17,,1548694013,0,0,1,1,1,1,0,0,,0,0,0,,0
46,6,1,5,17,,1548694013,0,0,1,1,1,1,0,0,,0,0,0,,0
47,6,1,6,19,,1548694014,0,0,1,1,1,1,0,0,,0,0,0,,0
48,6,1,7,19,,1548694014,0,0,1,1,1,1,0,0,,0,0,0,,0
49,7,9,6,20,,1528706177,0,0,1,1,1,0,0,0,,0,0,0,,0
50,7,5,1,20,,1529247486,0,0,1,1,1,0,0,2,,1,0,0,"{""op"":""&"",""c"":[{""type"":""date"",""d"":"">="",""t"":1529260200}],""showc"":[true]}",0
51,7,12,3,21,,1528821191,0,0,1,1,1,0,0,1,,0,1530124200,1,,0
52,7,16,4,21,,1529077081,0,0,1,1,1,0,0,2,,1,0,1,,0
53,7,9,7,22,,1529084910,0,0,1,1,1,0,0,2,,1,0,1,,0
