id,name,cron,lastcron,search,visible
2,assignment,60,0,,0
3,book,0,0,,1
5,choice,0,0,,1
6,data,0,0,,1
7,feedback,0,0,,1
8,folder,0,0,,1
9,forum,0,0,,1
10,glossary,0,0,,1
11,imscp,0,0,,1
12,label,0,0,,1
13,lesson,0,0,,1
14,lti,0,0,,1
15,page,0,0,,1
17,resource,0,0,,1
18,scorm,0,0,,1
19,survey,0,0,,1
20,url,0,0,,1
21,wiki,0,0,,1
23,questionnaire,0,0,,1
25,hvp,0,0,,1
24,reengagement,0,0,,1
4,chat,300,1564625109,,1
1,assign,60,1564625109,,1
16,quiz,60,1564625109,,1
22,workshop,60,1564625109,,1
26,moodleoverflow,0,0,,1
