id,discussion,parent,userid,created,modified,mailed,subject,message,messageformat,messagetrust,attachment,totalscore,mailnow,deleted
1,1,0,2,1548435938,1548444475,1,Deployment,"<p>This website is still in testing mode. Public release date: 28 Jan 2019! Stay tuned!</p><p><span class=""edited"">(Edited by <a href=""https://moodle.10academy.org/user/view.php?id=3&amp;course=1"">Arun Sharma</a> - original submission Friday, 25 January 2019, 6:05 PM)</span></p>",1,0,,0,0,0
3,3,0,2,1549622897,1549622897,1,2019 Potential Fellows,"<p>We are happy to announce that this platform is officially kick-started, and the 2017 10 Academy Fellows and the the first batch of the 2019 Potential Fellows are included in the system.&nbsp;<br></p><p>Exciting future ahead!</p>",1,0,,0,0,0
4,4,0,3,1549649825,1549649825,1,New Pattern Match!,"<p>Hello, the old Pattern Match course was not functioning properly - a new course (Pattern Match (new)) has been added.&nbsp; Sorry for the hassle. -as</p>",1,0,,0,0,0
119,17,111,581,1558685401,1558685401,1,Re: New here,Welcome Michael,1,0,,0,0,0
9,9,0,246,1552307921,1552307921,1,Planning ahead during the course,"<p>As a late participant to the course, I have decided to take up all assignments, making sure I complete them on time. I will always be logged in and try my possible best to complete for the days ahead.</p>",1,0,,0,0,0
5,5,0,2,1550234475,1550234475,1,What do you know about data science?,"<p>Please list what you know, what you tried, what you have achieved and any relevant information that show off your level of data science experience. For example</p><p><ul><li>I have experience in working with twitter data<br></li><li>I am new to data science but have taken a few online courses - eager to learn more</li><li>I am learning pandas in python</li></ul></p><p>You can also put links to summer schools you attended, online and offline courses you took, videos you watched. Use tags like Excellent, Very Good, Good to your links to show your opinion of the material you are sharing.&nbsp; For example</p><p><ul><li>Excellent ML guide :&nbsp;https://ai.google/education/<br></li></ul></p>",1,0,1,0,0,0
45,13,0,58,1553714031,1553714031,1,How do you differentiate a data analyst  and data engineer from a data scientist,"<p>Sometimes, collaboration is more important than being yourself</p>",1,0,,0,0,0
7,7,0,246,1552049131,1552049131,1,Describe your desk,<p>Tell me what you have on your desk and I will tell you who you are.</p><p>This is how my desk looks like at the moment.&nbsp;</p><p></p><ol><li>My laptop</li><li>Pencil</li><li>A heap of books belonging to my boss</li><li>Files</li></ol><p></p>,1,0,1,0,0,0
62,5,5,299,1554377862,1554378050,1,Re: What do you know about data science?,"<ul><li><span style=""font-size: 0.9375rem;"">&nbsp;Data Science is a broad based knowledge that offers humans the opportunity to break down complex figures and data for easy use. using tools and applications.</span></li></ul><p><br></p><p><ul><li>I am en early beginner, taking online courses on data&nbsp;</li></ul><p><br></p><p><ul><li>I&nbsp; have not engaged in any project yet with respect to Data Science&nbsp;</li></ul></p></p><br><br>",1,0,,0,0,0
6,6,0,2,1550855679,1550855679,1,Update your profile!,<p>Due to system mistake most users country was set to Ghana by mistake. We recommend everyone to change their profile up to date at all times.&nbsp;&nbsp;</p>,1,0,,0,0,0
86,5,5,443,1556111809,1556111809,1,Re: What do you know about data science?,<p>I'm a beginner in Data science.</p><p>I'm still taking online course to develop skills in this section&nbsp;</p>,1,0,,0,0,0
8,8,0,246,1552298432,1552298432,1,Describe a participant,"<p><img src=""https://expcf.padletcdn.com/8a30e77990181e72982f6581ba06a3e6490c9e0f/png?cd=filename%3Dpadlet-p3qao1dyn0fr.png&amp;delay=2500&amp;full_page=true&amp;url=https%3A%2F%2Fpadlet.com%2Fhelinaandoh03%2Fp3qao1dyn0fr%3Flast_updated%3D1552297586%26locale%3Den%26read_only%3D1%26screenshot%3D1%26timezone%3DEtc%252FUTC&amp;width=1024""><br></p>",1,0,,0,0,0
10,10,0,246,1552657703,1552657703,1,Using ICT for developing competences,"<p><a href=""https://expcf.padletcdn.com/a010de83462e82e9a4d9d3a3aa525cd2974cac1c/png?cd=filename%3Dpadlet-ijdmu8cguhq1.png&amp;delay=2500&amp;full_page=true&amp;url=https%3A%2F%2Fpadlet.com%2Fhelinaandoh03%2Fijdmu8cguhq1%3Flast_updated%3D1552399565%26locale%3Den%26read_only%3D1%26screenshot%3D1%26timezone%3DEtc%252FUTC&amp;width=1024"">https://padlet.com/helinaandoh03/ijdmu8cguhq1</a>&nbsp;- link to my list of competencies.<br></p><p>Among the competencies above, commitment to career can be acquired through ICT by using Google Calendar to meet deadlines and never skip a seminar. With the other competencies, ICT&nbsp; can help but needs much more physical practice in order to achieve its best.</p><p>Technology can be used to improve teaching and learning and help in the acquisition and development of competencies by assisting in researching information on the&nbsp;web and to take up courses to further improve on a competence.</p><p><br></p><p><b>Microsoft Word, PowerPoint, Grammarly and Paint</b></p><p><span>These tools can be used to train on speed and perfectness in a given competency.&nbsp;</span></p><p><span><b><i>remember </i></b>- saves a work in progress and pick up from where you left.</span></p><p><span><b><i>understand </i></b>- helps to compare and contrast, finds the relationship between items.</span></p><p><span><b><i>apply </i></b>- use lessons in everyday activities e.g. painting your own home and garden to make it look as it is on the ground.</span></p><p><span><b><i>analyze </i></b>- assist in&nbsp;cross-checking&nbsp;and t.organization of thoughts in&nbsp;a well-planned&nbsp;format.</span></p><p><span><b><i>evaluate</i> </b>- helps to&nbsp;check&nbsp;grammar&nbsp;and&nbsp;improves your writing skills.</span></p><p><span><b><i>create </i></b>- design items by using shapes of your choice to make decisions real.</span></p>",1,0,,0,0,0
36,5,22,2,1553531758,1553531758,1,Re: What do you know about data science?,<p>Wonderful! Try some of the Kaggle challenges if you have time</p>,1,0,,0,0,0
37,5,23,2,1553531903,1553531903,1,Re: What do you know about data science?,Great! You will be the expert the world is looking for if you keep up upskilling yourself and taking challenges. 10 Academy will also put courses and other guides to help people like you.&nbsp;,1,0,,0,0,0
11,5,5,5,1553240186,1553240186,1,Re: What do you know about data science?,<p>I know Data Science is a multidisciplinary field. The role of a data scientist is to extract actionable insight from static or dynamic data.&nbsp;</p><p>I have done many data science projects including analysing cosmic microwave background data to understand the statistical nature of the Universe.&nbsp;</p>,1,0,,0,0,0
12,5,11,3,1553258333,1553258333,1,Re: What do you know about data science?,I like learning about Data Science.,1,0,,0,0,0
49,5,5,253,1553790310,1553790310,1,Re: What do you know about data science?,<p>I am new to data science so learning more on that.</p>,1,0,,0,0,0
16,5,5,48,1553365374,1553365374,1,Re: What do you know about data science?,"First, this course looks exciting!

To answer the question, I know that data science helps make sense of huge data. It also helps one make informed decisions based on the data obtained or analysed.&nbsp;<p><br></p><p>I have interacted with Facebook analytics and just recently on Twitter. Also completed an Alison Course on Introduction to Data Science.&nbsp;</p><p>I know that my knowledge on the subject is rudimentary which makes learning it so exciting! Cause it's something new.&nbsp;</p>",1,0,,0,0,0
13,5,5,266,1553297480,1553297814,1,Re: What do you know about data science?,"<ul><li><span>I think of data science as lying at the intersection of computer science, statistics,&nbsp;</span><span>and substantive application domains. From computer science comes machine&nbsp;</span><span>learning and high-performance computing technologies for dealing with&nbsp;</span><span>scale. From statistics comes a long tradition of exploratory data analysis, significant</span><span>&nbsp;testing, and visualization. From application domains in business and&nbsp;</span><span>the sciences comes challenges worthy of battle, and evaluation standards to&nbsp;</span><span>assess when they have been adequately conquered.</span></li></ul><span><br></span><ul><li><span><span>Although, I am new to data science but I have taken a few online courses on Python for Data Science by DataQuest, Machine Learning by Andrew NG (on-going).&nbsp;I have also taken a few offline courses on ""Introduction to Machine Learning and Deep Learning"" by Data Science Nigeria. I attended 2018 Data Science Nigeria Bootcamp in Lagos after passing their pre-qualification exercise on Kaggle (that is, building a comedy recommendation system based on user's rating). I am currently reading ""Mathematics for Machine Learning"" by&nbsp;</span><span>Marc&nbsp;</span><span>Peter Deisenroth, A Aldo Faisal, and Cheng Soon Ong.</span></span></li></ul><span><br></span><ul><li><span><span>I am eager to learn more of Data Science and its applications.</span></span></li></ul><p><br></p>",1,0,,0,0,0
15,5,5,165,1553358597,1553358597,1,Re: What do you know about data science?,"<p>I have six months of experience in Data Science and counting. I've taken online courses on Python and Machine Learning from Dataquest, Datacamp, edX, Udacity. I'm currently taking the Microsoft Professional Program on Data Science.</p><p>I've done projects on Data Science like Exploratory Analysis, CNNs, and I was one of the selected participants at the Data Science Nigeria boot camp in 2018 through a Kaggle qualification exercise.</p><p><br></p>",1,0,,0,0,0
93,5,5,420,1556634329,1556634329,1,Re: What do you know about data science?,I am new to data science but have taken a few online courses - eager to learn more,1,0,,0,0,0
46,5,5,58,1553714556,1553714556,1,Re: What do you know about data science?,"<p>Data science is a concept which combines statistics, data analysis, machine learning and their related methods in order to understand and analyze actual phenomena with data. I have experience in using python and R, started a course on big data and machine learning and for real, i found this field interesting and it is changing the world as data is increasing on daily basis. Nowadays, everything is data from agriculture, banking industry, academia, medicine to telecommunications and others fields.<br></p>",1,0,,0,0,0
14,5,5,262,1553354391,1553354391,1,Re: What do you know about data science?,I am new to data science but currently taking a an online course with IBM Digital-Nation Africa. I am very much interested in learning more about data science and its applications.<br>,1,0,,0,0,0
51,13,45,246,1553857597,1553857597,1,Re: How do you differentiate a data analyst  and data engineer from a data scientist,"Data scientists are&nbsp;<i>primarily&nbsp;</i>people who develop<b>&nbsp;data models and products,&nbsp;</b>that in turn produce insights.<br><br>Data engineers are&nbsp;<i>primarily</i>&nbsp;people who manage&nbsp;<b>data infrastructure</b>,&nbsp;<b>automate data processing</b>&nbsp;and&nbsp;<b>deploy models. </b>They are seen as master builders.<br><br>Data analysts are&nbsp;<i>primarily&nbsp;</i>people who develop&nbsp;<b>insights with data.</b><br><br><b>The distinction between data scientist and analyst is modelling - data scientists model, data analysts do not.</b><br>",1,0,,0,0,0
55,5,5,367,1553898822,1553898822,1,Re: What do you know about data science?,"I am a new student to data sciences. However, in this era of big data, I want to contribute to what will guide companies, organizations, and governments in making decision from voluminous and unstructured data generated through digital, social media and internet.<br><br>I am willing to learn, and focus more on data management.<br><br>",1,0,,0,0,0
58,5,5,382,1554118176,1554118176,1,Re: What do you know about data science?,"I am new to the field of Data Science, I have taken several courses online and I have experience on social media data.&nbsp;<br><br>In all my knowledge exploration, I have found that data science like every science out there is the study of Data. In all, the process of acquiring data, to be cleaned and modified such that it can be processed to get meaningful insights that can help make necessary and important decisions.&nbsp;<br><br><br>",1,0,,0,0,0
123,22,0,586,1558890286,1558890286,1,DataScience,<p>How can data science solve our daily activity problems</p>,1,0,,0,0,0
19,5,5,353,1553421952,1553421952,1,Re: What do you know about data science?,"<p><p></p><p>I know data science deals with the harnessing
and analyzing of big data, either structured or unstructured in order to draw
useful insights from them.</p>

<p>I haven’t done much in data science, but I have
read books such as Introduction to Machine Learning using Python by Vikram
Kamath and Numerical Computer in preparation for Deep Learning Indaba 2017,
South Africa.</p>

<p>I’m familiar with the Python language and have
coached at a DjangoGirls event. I have also used SQL for database management in
personal projects</p><p><br></p><br></p>",1,0,,0,0,0
18,5,5,115,1553368880,1553368880,1,Re: What do you know about data science?,"Data Science is a field that is involved in data collection, preparation, &nbsp;analysis in order to draw insights from the data, make sense of the data to help in making future decisions. Prepared data can be fed into Machine learning models to predict, classifies processes.&nbsp;<p>I have taken machine learning courses on dataquest, and many other online platforms. Even though my experience in data science field has not been on larger scale. I have used data science tools like Sql, Python, Microsoft Excel, Google biqquery and Colab for personal projects. Importantly, I'm open to new learning environments and communities of learning.&nbsp;</p>",1,0,,0,0,0
39,5,25,2,1553532002,1553532002,1,Re: What do you know about data science?,<p>awesome!&nbsp; Keep up upskilling your self</p>,1,0,,0,0,0
31,5,16,2,1553531339,1553531339,1,Re: What do you know about data science?,<p>You are in the right direction! Keep up upskilling yourself with more online courses and blogs.</p>,1,0,,0,0,0
20,5,5,90,1553427322,1553427322,1,Re: What do you know about data science?,"<p>Data science is a multidisciplinary field which deals with the use of statistical tools for analysis of data in order to tell an insightful story and draw a remarkable conclusion.</p><p>My journey towards becoming a data scientist started in 2017 during my MSc in Mathematical Sciences. I learned how packages in python such as Numpy, Pandas, Networkx can be used to manipulate data. Presently, I am about completing my certification in Data Science (Microsoft Professional Program in Data Sciences (MPP)). The project I had done is the predictive analysis of Adventure Works Cycle Company (<a href=""https://github.com/Ridwanlekan/Data_Science_project"">https://github.com/Ridwanlekan/Data_Science_project)</a>, which is a semi-project in preparation for my final capstone project scheduled to start on the 1st of April, 2019. Some other courses I had learned during my MPP include: Introduction to Data Science, Analyzing and visualizing data with Excel, Analytics Storytelling for Impact, Ethics and Law in Data and Analytics, Querying Data with Transact-SQL, Introduction to Python for Data science, Essential Maths for Machine Learning, Data Science Research Methods using Python, Principles of Machine Learning, Azure Machine Learning and Implementing Predictive Analysis with Spark in Azure HDInsight.</p><br>",1,0,,0,0,0
52,12,47,246,1553858498,1553858579,1,Re: How can Data Science Impact the African Region?,"<p>Data science offers a great deal of promise in resolving Africa's challenges in health, wealth and well being.</p><p><span>Data Science can be used to keep people healthy and </span><span>to prevent crime and improve public safety.</span></p><p>It can also be used to improve government services and <span>can help </span>improve<span> agriculture in countries with widespread food insecurity or where harvests are uncertain. The use of data science to create proxy indicators for monitoring biodiversity in forests.</span></p>",1,0,,0,0,0
47,12,44,381,1553719876,1553719876,1,Re: How can Data Science Impact the African Region?,<p>African is a promising continent full of resources yet untapped. One of such is the increasing amount of data generated in Africa today. The knowledge of data science will give us the ability to draw insight and utilize this data. To scale vertical industry in Africa</p>,1,0,,0,0,0
21,5,5,328,1553462906,1553462906,1,Re: What do you know about data science?,"<p>Data science helps provides insights and information out of data (which can be structured or unstructured. It is multi-disciplinary field that involves the use of statistics, data analysis and machine learning models.</p><p>I have taken introductory courses on data science from DataCamp. I am currently taking Microsoft Professional Program on Data Science. I am family with using python packages such as Numpy and Pandas alongside querying data with Transact-SQL&nbsp;&nbsp;</p>",1,0,,0,0,0
63,13,45,383,1554383701,1554383701,1,Re: How do you differentiate a data analyst  and data engineer from a data scientist,"<p>As the name suggest, Data analyst analyse and visualize data. His tasks include data extraction, data cleansing, data exploration and data visualization coupled with a sharpened and reporting skill. Required technical skills include programming in R or Python, Excel, Power Bi etc</p><p>A Data Engineer builds data pipelines infrastructure for data generation,&nbsp; processing and transformation. Data engineer work on the architecture aspect of data. Their core focus is on database management and big data solutions, including data warehousing. Required technical skills include SQL, Apache Hadoop, Spark, Hive, Cassandra, MongoDB etc</p><p>Data scientists design data modeling systems. They also perform and interpret data product experiments, algorithms, predictive and descriptive machine learning models. Required technical skills include advanced mathematics and statistics.<br></p><p><br></p>",1,0,,0,0,0
120,19,0,409,1558771958,1558771958,1,impact of data science,what is the current  state of data science in africa and what will be its state in the next ten years to come,1,0,,0,0,0
59,5,5,347,1554148851,1554148851,1,Re: What do you know about data science?,"<p>I have experience working as a technical recruiter who had to source and place data science, machine learning and&nbsp;data analytics resources to name a few.</p><p>I have also been taking basic courses on the subject using platforms like&nbsp;<a href=""https://app.dataquest.io/"">https://app.dataquest.io/</a>,&nbsp;<a href=""https://www.datacamp.com/courses/intro-to-python-for-data-science"">https://www.datacamp.com/</a>&nbsp;and&nbsp;<a href=""https://alison.com/course/data-analytics-introduction-to-machine-learning"">https://alison.com/course/data-analytics-introduction-to-machine-learning</a></p>",1,0,,0,0,0
66,12,52,274,1554398732,1554398732,1,Re: How can Data Science Impact the African Region?,"<p>It can be used to build a database for all working sectors of the economies of various African countries since the data needed for a lot of projects are scanty or not available at all. This can help in determining patterns in data for every sector, making predictions based on this data and executing accurate projects. In the long run, it goes a long way in shaping the future of African economies.</p><p>Aside that, the field of data science can provide job opportunities for a lot of the African youth to cut down on the plague of unemployment in various African countries.</p>",1,0,,0,0,0
70,12,44,146,1554819851,1554819851,1,Re: How can Data Science Impact the African Region?,<p>Data science can impact the African society in so many ways. But first in Africa we need to collect and computerize all the data available to use. There is still so much data available on paper. After doing that we can use data science to predict certain future trends based on the data available to us. This is just one out of many applications of data science in Africa.</p>,1,0,,0,0,0
72,5,5,88,1555183080,1555183080,1,Re: What do you know about data science?,"<p>I am learning more about data science.&nbsp;</p><p>I believe it helps to collate , segregate, analyse, and interpret data for solving any challenge or improve on current practices.&nbsp;</p>",1,0,,0,0,0
76,5,5,61,1555632969,1555632969,1,Re: What do you know about data science?,"<p>data science can be described as a progression of collection, processing, exploration and visualisation of data in order for us (humans) to better analyse and iterate. The output or results help inform our decision making in various areas such as planning for future populations with regards to housing and food.</p>",1,0,,0,0,0
98,5,5,581,1556812746,1556812746,1,Re: What do you know about data science?,<p>Partly did data science as a unit in university as well as taking an online course in Udacity under the Bertelsmann scholarship.<br />Also learning more on jupiter </p>,1,0,,0,0,0
53,11,28,246,1553859225,1553859225,1,Re: Question ,"<p>Welcome, Nerissa,</p><p>Per the video upload, there are various questions you need to answer in the video, upload it to YouTube and paste the link at the space provided below the question.</p><p>Hope this was helpful.</p>",1,0,,0,0,0
22,5,5,369,1553478445,1553478707,1,Re: What do you know about data science?,"<p><span>By my understanding,</span><b>&nbsp;</b>Data science in an application of techniques to extract facts from data. I started to hear about Data science when I was in my final year in school but then left it. But after after grad school, I went online and saw that data science popularity has grown so much that it is what people are talking about here and there. so I decided to take a course. I went online and bought a course on Udemy, titled ""Python A-Z: Python for Data science"". That was my first introduction to the course and the experience from the course made me yearn for more because that was were i got introduced to Jupyter notebook, advanced visualization using Pandas and seaborn, matplotlib, how to read a CSV file on jupyter, all kinds of visualizations such KDE plot, violinplot, boxplot. Also leanrt how to create a dashboard. The experience was awesome and I look forword to learning more here.</p><p>Below is the URL to the course I took on Udemy very insightful.</p><p>Excellent guide: https://www.udemy.com/python-coding/learn/v4/content<br></p>",1,0,,0,0,0
48,13,45,2,1553769242,1553769242,1,Re: How do you differentiate a data analyst  and data engineer from a data scientist,"<p>data engineer is more interested in how to handle the data itself - building a storage facility, choosing database type, etc. Analysts are interested in extracting the relevant actionable insight from data.&nbsp;</p>",1,0,,0,0,0
23,5,5,387,1553497774,1553497774,1,Re: What do you know about data science?,"<p>Data science is a new field of analytical data expertise who have the technical skills to solve complex problems – and the curiosity to explore what problems need to be solved.<br></p><p><br></p><p>I am a data science beginner, I have taken my courses both on Cousera and Lynda. I have worked with different dataset on my own. I am looking forward to lay my hands on real life projects on data science. I can work comfortably with Python library such as Numpy, Pandas, Matplotlib, Seaborn . I am also looking forward to become a Machine Learning expert.&nbsp;&nbsp;</p>",1,0,,0,0,0
26,5,5,123,1553515671,1553515671,1,Re: What do you know about data science?,<p>I am quite new to the field of Data Science and I think Data Science is quite an interesting course to study.&nbsp;<br>I know that Data Science is simply making use of or meaning out of data obtained.&nbsp;<br>I look forward to learning more on Data Science</p>,1,0,,0,0,0
24,5,5,170,1553499798,1553499798,1,Re: What do you know about data science?,"<p>Data science is the science to extract and interpret information from data. <br>The actions performed may be either a classification or a regression. <br>This usually requires various tools such as machine learning and statistics.<br>I took part in the Deep Learning Indaba 2018, held in Stellenbosch, South Africa, <br>where I have been introduced to the world of data science. <br>I am still a beginner but I am eager to learn more.<br>That is why I enter the community opendatascience.slack.com, where they offer various courses and assignments <br>on data science.<br>In addition, I am following the online course on neural networks from the University of Carnegie Mellon,<br>that one can access via the link https://dlcourse.ru/<br>I register as well to the Kaggle website, which offers courses on programming (python, pytorch), <br>access to diverse data that can be played around, and competitions where you can win prizes.<br></p>",1,0,,0,0,0
25,5,5,118,1553500728,1553500728,1,Re: What do you know about data science?,"<p>I am new to the whole concept of data science, but I am excited to learn&nbsp;everything about it from the ground up.</p><p>To augment my experience on data science with 10 Academy, I have enrolled for a R-basics beginner course with Havardx. The course is being offered on edx.org. It is an 8-week course and I am on my 3rd week. It has been an exciting journey thus far. I use DataCamp to practice my course assignments. <br></p><p>I also hope to learn SQL JavaScript, and Python as well<br></p>",1,0,,0,0,0
27,5,5,290,1553516445,1553516445,1,Re: What do you know about data science?,"Data science is a multi-disciplinary field that uses scientific methods, processes, various tools, algorithms and machine learning principles with the goal to discover hidden patterns from raw data.<p>I have an excellent experience in data analysis using stata and excel and it's interpretation. I am good at biostatistics and working on health data.&nbsp;</p><p>I have limited experience in machine learning processes and coding but I have taken online courses on futurelearn.com on coding for data analysis using python and another course on edx.org using excel for data analysis. I watched YouTube videos on machine learning (https://youtu.be/qDbpYUbf3eO) and deep learning (https://youtu.be/l42lr8AlrHk).</p><p>I will continue to learn to gain more experience in data science&nbsp; and enthusiastic to be part of this group to learn more.&nbsp;</p><p><br></p>",1,0,,0,0,0
30,5,13,2,1553531238,1553531238,1,Re: What do you know about data science?,<p>Wonderful!&nbsp;</p>,1,0,,0,0,0
28,11,0,331,1553524961,1553524961,1,Question ,"<p>Hello,&nbsp;</p><p>I am Nerissa, im very happy to have been able to apply and im hoping to be part of this exciting journey of learning new skills for impact.</p><p>I have been able to provide the necessary information with the exception of the video I am to record and upload on YouTube.&nbsp; I will be very glad if you could give me some assistance on that.&nbsp;</p><p>Thank you.</p>",1,0,,0,0,0
34,5,20,2,1553531581,1553531581,1,Re: What do you know about data science?,<p>Fantastic! Keep up the good work!</p>,1,0,,0,0,0
32,5,18,2,1553531443,1553531443,1,Re: What do you know about data science?,<p>Wonderful! We shall put more your previous data science learning to work via freelance jobs and more training. Keep upskilling yourself!</p>,1,0,,0,0,0
33,5,19,2,1553531495,1553531495,1,Re: What do you know about data science?,<p>Wonderful!</p>,1,0,,0,0,0
35,5,21,2,1553531668,1553531668,1,Re: What do you know about data science?,<p>Great! Have you attempted to do any data science project before?</p>,1,0,,0,0,0
38,5,24,2,1553531960,1553531960,1,Re: What do you know about data science?,<p>fantastic! Keep up the good work</p>,1,0,,0,0,0
29,5,15,2,1553531210,1553531210,1,Re: What do you know about data science?,<p>Nice! Keep up the good work!</p>,1,0,,0,0,0
121,20,0,2,1558883209,1558883930,1,Course is now open.,"<p>All 10 Academy members are enrolled to participate in this course. The course will be available all the year, but grading is only open for specific date ranges. The dates will be announced here.  </p>",1,0,,0,0,0
41,5,5,246,1553688572,1553688572,1,Re: What do you know about data science?,Scanning through other responses and watching a video of it shows that data science is really interesting and a must learn.&nbsp;<br>At the moment I do not have any knowledge about it but ready and hope to learn much more on it.<br>,1,0,,0,0,0
60,5,5,362,1554275130,1554275130,1,Re: What do you know about data science?,"<p>I am new to data science, learning pandas in python and currently taking the Microsoft Professional Program on Data Science - https://academy.microsoft.com/en-us/tracks/data-science/.<br></p>",1,0,,0,0,0
77,5,5,61,1555633362,1555633362,1,Re: What do you know about data science?,"I am new to data science but had an in-training python tutorial session(Django girls) last year<br>Very Good-<a href=""https://djangogirls.org/accra/"">https://djangogirls.org/accra/</a><br>",1,0,,0,0,0
73,5,5,347,1555575993,1555575993,1,Re: What do you know about data science?,"I have experience in working with and recruiting data scientist hence have a general theoretical understanding of the field.<br>I also did a LinkedIn course on data science,&nbsp;<a href=""https://www.linkedin.com/learning/learning-data-science-understanding-the-basics/focus-on-knowledge?autoplay=true"">https://www.linkedin.com/learning/learning-data-science-understanding-the-basics/focus-on-knowledge?</a><br>",1,0,1,0,0,0
64,13,45,274,1554397951,1554397951,1,Re: How do you differentiate a data analyst  and data engineer from a data scientist,"<p>A data scientist extracts and interprets information from data using skills such as machine learning and statistics.</p><p><br></p><p>A data analyst visualizes and evaluates data. His/her work involves data exploration, data cleansing and data visualization. Technical skills used by data&nbsp;<span style=""font-size: 0.9375rem;"">analysts include programming in R or Python and Excel.</span></p><p><br></p><p>A data engineer works on the architecture aspect of data such as building data pipeline infrastructure for data generation, processing and transformation.&nbsp;<span style=""font-size: 0.9375rem;"">Data engineers require skills in SQL, Spark, Hive, etc.</span></p><p><br></p><p>A data scientist may work as a data analyst since both share similarities. However, both lay the foundation for a data engineer to be able to develop&nbsp;<span style=""font-size: 0.9375rem;"">his/her expertise.</span></p>",1,0,,0,0,0
71,5,5,385,1554923526,1554923526,1,Re: What do you know about data science?,"<p>Although i am still a newbie in data science, the work i have done with data science is amazing. i have designed a system that predicts salaries using simple linear regression. i have designed a facial recognition system.</p><p>&nbsp;</p>",1,0,,0,0,0
68,12,52,259,1554736744,1554736744,1,Re: How can Data Science Impact the African Region?,"<p>For my work now in using support vector machine to classify and predict if a patient has autism or not, this is just the beginning of learning to enhance the health sector in Africa. <br></p><p>With Africa still developing, there is still more to improve in the health sector. Thus the use of data science can really go a long way to create early detection and diagnosis of diseases rampant in our communities.<br></p>",1,0,,0,0,0
74,12,44,347,1555576216,1555576216,1,Re: How can Data Science Impact the African Region?,"<p>Through data science, persons, businesses and global corporations are able to ask interesting questions in order to find new and innovative solutions to existing problems and societal issues in Africa.</p><p>The exponential capabilities in big data have the potential of allowing the African region to leapfrog some of the technological phases and create tailor-made solutions for the African populace.</p>",1,0,,0,0,0
79,13,45,61,1555634879,1555634879,1,Re: How do you differentiate a data analyst  and data engineer from a data scientist,"Data scientists apply their expertise in statistics and building machine learning models to make predictions and answer key business questions.. So a data scientist is a data analyst because they clean, analyze, and visualize data, just like a data analyst. Data scientists can be said to be data engineers as they have to design and create appropriate feature structures for models to test data.&nbsp;<br>Data analyst and data engineers are not data scientists because they just focus on one progression stage of handling data specialising in just its analysis or creation of suitable structures.<br>",1,0,,0,0,0
